Failed to create secure directory (/run/user/1766203/pulse): No such file or directory
Failed to create secure directory (/run/user/1766203/pulse): No such file or directory
ALSA lib pulse.c:243:(pulse_connect) PulseAudio: Unable to connect: Connection refused

pygame 2.0.1 (SDL 2.0.14, Python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
Running on the GPU
Game 1 Score 0 Record: 0
Game 2 Score 0 Record: 0
Game 3 Score 0 Record: 0
Game 4 Score 0 Record: 0
Game 5 Score 0 Record: 0
Game 6 Score 0 Record: 0
Game 7 Score 0 Record: 0
Game 8 Score 1 Record: 1
Game 9 Score 0 Record: 1
Game 10 Score 1 Record: 1
Game 11 Score 0 Record: 1
Game 12 Score 1 Record: 1
Game 13 Score 0 Record: 1
Game 14 Score 0 Record: 1
Game 15 Score 0 Record: 1
Game 16 Score 0 Record: 1
Game 17 Score 0 Record: 1
Game 18 Score 0 Record: 1
Game 19 Score 1 Record: 1
Game 20 Score 0 Record: 1
Game 21 Score 1 Record: 1
Game 22 Score 0 Record: 1
Game 23 Score 0 Record: 1
Game 24 Score 0 Record: 1
Game 25 Score 0 Record: 1
Game 26 Score 0 Record: 1
Game 27 Score 0 Record: 1
Game 28 Score 0 Record: 1
Game 29 Score 0 Record: 1
Game 30 Score 0 Record: 1
Game 31 Score 1 Record: 1
Game 32 Score 1 Record: 1
Game 33 Score 1 Record: 1
Game 34 Score 0 Record: 1
Game 35 Score 0 Record: 1
Game 36 Score 0 Record: 1
Game 37 Score 0 Record: 1
Game 38 Score 0 Record: 1
Game 39 Score 0 Record: 1
Game 40 Score 0 Record: 1
Game 41 Score 0 Record: 1
Game 42 Score 0 Record: 1
Game 43 Score 0 Record: 1
Game 44 Score 0 Record: 1
Game 45 Score 0 Record: 1
Game 46 Score 0 Record: 1
Game 47 Score 0 Record: 1
Game 48 Score 0 Record: 1
Game 49 Score 0 Record: 1
Game 50 Score 0 Record: 1
Game 51 Score 0 Record: 1
Game 52 Score 0 Record: 1
Game 53 Score 0 Record: 1
Game 54 Score 0 Record: 1
Game 55 Score 0 Record: 1
Game 56 Score 1 Record: 1
Game 57 Score 0 Record: 1
Game 58 Score 0 Record: 1
Game 59 Score 0 Record: 1
Game 60 Score 0 Record: 1
Game 61 Score 0 Record: 1
Game 62 Score 0 Record: 1
Game 63 Score 0 Record: 1
Game 64 Score 0 Record: 1
Game 65 Score 0 Record: 1
Game 66 Score 0 Record: 1
Game 67 Score 0 Record: 1
Game 68 Score 1 Record: 1
Game 69 Score 0 Record: 1
Game 70 Score 0 Record: 1
Game 71 Score 1 Record: 1
Game 72 Score 0 Record: 1
Game 73 Score 0 Record: 1
Game 74 Score 0 Record: 1
Game 75 Score 0 Record: 1
Game 76 Score 0 Record: 1
Game 77 Score 1 Record: 1
Game 78 Score 0 Record: 1
Game 79 Score 0 Record: 1
Game 80 Score 1 Record: 1
Game 81 Score 0 Record: 1
Game 82 Score 0 Record: 1
Game 83 Score 0 Record: 1
Game 84 Score 1 Record: 1
Game 85 Score 0 Record: 1
Game 86 Score 0 Record: 1
Game 87 Score 0 Record: 1
Game 88 Score 0 Record: 1
Game 89 Score 0 Record: 1
Game 90 Score 1 Record: 1
Game 91 Score 0 Record: 1
Game 92 Score 0 Record: 1
Game 93 Score 0 Record: 1
Game 94 Score 1 Record: 1
Game 95 Score 0 Record: 1
Game 96 Score 0 Record: 1
Game 97 Score 0 Record: 1
Game 98 Score 1 Record: 1
Game 99 Score 0 Record: 1
Game 100 Score 1 Record: 1
Game 101 Score 0 Record: 1
Game 102 Score 0 Record: 1
Game 103 Score 0 Record: 1
Game 104 Score 0 Record: 1
Game 105 Score 0 Record: 1
Game 106 Score 0 Record: 1
Game 107 Score 0 Record: 1
Game 108 Score 0 Record: 1
Game 109 Score 0 Record: 1
Game 110 Score 1 Record: 1
Game 111 Score 0 Record: 1
Game 112 Score 0 Record: 1
Game 113 Score 0 Record: 1
Game 114 Score 0 Record: 1
Game 115 Score 0 Record: 1
Game 116 Score 0 Record: 1
Game 117 Score 0 Record: 1
Game 118 Score 0 Record: 1
Game 119 Score 0 Record: 1
Game 120 Score 0 Record: 1
Game 121 Score 0 Record: 1
Game 122 Score 0 Record: 1
Game 123 Score 0 Record: 1
Game 124 Score 1 Record: 1
Game 125 Score 1 Record: 1
Game 126 Score 0 Record: 1
Game 127 Score 0 Record: 1
Game 128 Score 0 Record: 1
Game 129 Score 0 Record: 1
Game 130 Score 0 Record: 1
Game 131 Score 0 Record: 1
Game 132 Score 0 Record: 1
Game 133 Score 0 Record: 1
Game 134 Score 0 Record: 1
Game 135 Score 0 Record: 1
Game 136 Score 1 Record: 1
Game 137 Score 0 Record: 1
Game 138 Score 0 Record: 1
Game 139 Score 0 Record: 1
Game 140 Score 0 Record: 1
Game 141 Score 0 Record: 1
Game 142 Score 1 Record: 1
Game 143 Score 0 Record: 1
Game 144 Score 1 Record: 1
Game 145 Score 1 Record: 1
Game 146 Score 0 Record: 1
Game 147 Score 0 Record: 1
Game 148 Score 0 Record: 1
Game 149 Score 0 Record: 1
Game 150 Score 0 Record: 1
Game 151 Score 0 Record: 1
Game 152 Score 0 Record: 1
Game 153 Score 0 Record: 1
Game 154 Score 0 Record: 1
Game 155 Score 0 Record: 1
Game 156 Score 0 Record: 1
Game 157 Score 0 Record: 1
Game 158 Score 0 Record: 1
Game 159 Score 1 Record: 1
Game 160 Score 0 Record: 1
Game 161 Score 0 Record: 1
Game 162 Score 0 Record: 1
Game 163 Score 0 Record: 1
Game 164 Score 0 Record: 1
Game 165 Score 0 Record: 1
Game 166 Score 0 Record: 1
Game 167 Score 0 Record: 1
Game 168 Score 0 Record: 1
Game 169 Score 0 Record: 1
Game 170 Score 0 Record: 1
Game 171 Score 0 Record: 1
Game 172 Score 0 Record: 1
Game 173 Score 0 Record: 1
Game 174 Score 0 Record: 1
Game 175 Score 0 Record: 1
Game 176 Score 0 Record: 1
Game 177 Score 0 Record: 1
Game 178 Score 0 Record: 1
Game 179 Score 0 Record: 1
Game 180 Score 0 Record: 1
Game 181 Score 1 Record: 1
Game 182 Score 0 Record: 1
Game 183 Score 0 Record: 1
Game 184 Score 1 Record: 1
Game 185 Score 0 Record: 1
Game 186 Score 0 Record: 1
Game 187 Score 0 Record: 1
Game 188 Score 0 Record: 1
Game 189 Score 0 Record: 1
Game 190 Score 0 Record: 1
Game 191 Score 0 Record: 1
Game 192 Score 0 Record: 1
Game 193 Score 0 Record: 1
Game 194 Score 0 Record: 1
Game 195 Score 0 Record: 1
Game 196 Score 0 Record: 1
Game 197 Score 0 Record: 1
Game 198 Score 0 Record: 1
Game 199 Score 0 Record: 1
Game 200 Score 0 Record: 1
Game 201 Score 0 Record: 1
Game 202 Score 0 Record: 1
Game 203 Score 0 Record: 1
Game 204 Score 0 Record: 1
Game 205 Score 0 Record: 1
Game 206 Score 0 Record: 1
Game 207 Score 0 Record: 1
Game 208 Score 0 Record: 1
Game 209 Score 0 Record: 1
Game 210 Score 0 Record: 1
Game 211 Score 0 Record: 1
Game 212 Score 1 Record: 1
Game 213 Score 0 Record: 1
Game 214 Score 0 Record: 1
Game 215 Score 0 Record: 1
Game 216 Score 0 Record: 1
Game 217 Score 0 Record: 1
Game 218 Score 0 Record: 1
Game 219 Score 0 Record: 1
Game 220 Score 0 Record: 1
Game 221 Score 0 Record: 1
Game 222 Score 0 Record: 1
Game 223 Score 1 Record: 1
Game 224 Score 0 Record: 1
Game 225 Score 0 Record: 1
Game 226 Score 0 Record: 1
Game 227 Score 0 Record: 1
Game 228 Score 0 Record: 1
Game 229 Score 0 Record: 1
Game 230 Score 0 Record: 1
Game 231 Score 0 Record: 1
Game 232 Score 0 Record: 1
Game 233 Score 0 Record: 1
Game 234 Score 0 Record: 1
Game 235 Score 0 Record: 1
Game 236 Score 1 Record: 1
Game 237 Score 0 Record: 1
Game 238 Score 0 Record: 1
Game 239 Score 0 Record: 1
Game 240 Score 1 Record: 1
Game 241 Score 0 Record: 1
Game 242 Score 0 Record: 1
Game 243 Score 0 Record: 1
Game 244 Score 1 Record: 1
Game 245 Score 1 Record: 1
Game 246 Score 0 Record: 1
Game 247 Score 0 Record: 1
Game 248 Score 0 Record: 1
Game 249 Score 0 Record: 1
Game 250 Score 0 Record: 1
Game 251 Score 0 Record: 1
Game 252 Score 0 Record: 1
Game 253 Score 0 Record: 1
Game 254 Score 0 Record: 1
Game 255 Score 0 Record: 1
Game 256 Score 0 Record: 1
Game 257 Score 1 Record: 1
Game 258 Score 0 Record: 1
Game 259 Score 0 Record: 1
Game 260 Score 0 Record: 1
Game 261 Score 0 Record: 1
Game 262 Score 0 Record: 1
Game 263 Score 0 Record: 1
Game 264 Score 0 Record: 1
Game 265 Score 0 Record: 1
Game 266 Score 0 Record: 1
Game 267 Score 0 Record: 1
Game 268 Score 0 Record: 1
Game 269 Score 0 Record: 1
Game 270 Score 1 Record: 1
Game 271 Score 0 Record: 1
Game 272 Score 0 Record: 1
Game 273 Score 1 Record: 1
Game 274 Score 0 Record: 1
Game 275 Score 0 Record: 1
Game 276 Score 2 Record: 2
Game 277 Score 0 Record: 2
Game 278 Score 0 Record: 2
Game 279 Score 0 Record: 2
Game 280 Score 0 Record: 2
Game 281 Score 2 Record: 2
Game 282 Score 0 Record: 2
Game 283 Score 0 Record: 2
Game 284 Score 0 Record: 2
Game 285 Score 1 Record: 2
Game 286 Score 0 Record: 2
Game 287 Score 0 Record: 2
Game 288 Score 0 Record: 2
Game 289 Score 1 Record: 2
Game 290 Score 0 Record: 2
Game 291 Score 1 Record: 2
Game 292 Score 0 Record: 2
Game 293 Score 0 Record: 2
Game 294 Score 0 Record: 2
Game 295 Score 0 Record: 2
Game 296 Score 0 Record: 2
Game 297 Score 0 Record: 2
Game 298 Score 0 Record: 2
Game 299 Score 2 Record: 2
Game 300 Score 0 Record: 2
Game 301 Score 0 Record: 2
Game 302 Score 1 Record: 2
Game 303 Score 0 Record: 2
Game 304 Score 0 Record: 2
Game 305 Score 1 Record: 2
Game 306 Score 2 Record: 2
Game 307 Score 1 Record: 2
Game 308 Score 2 Record: 2
Game 309 Score 0 Record: 2
